t: 94120r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94130r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94140r: 2, x: 481.0000000000, p: 3.1265001297, v: 20.0012207031, d: 0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.8991007805
t: 94150r: 2, x: 482.0000000000, p: 3.1330001354, v: -19.9951171875, d: -0.0125969216, a: 2.0000000000, dd: -0.2399999946, res: -2.8804032803
t: 94160r: 2, x: 481.0000000000, p: 3.1265001297, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8865001202
t: 94170r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94180r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94190r: 2, x: 481.0000000000, p: 3.1265001297, v: 19.9951171875, d: 0.0125969216, a: 2.0000000000, dd: -0.2399999946, res: -2.8990969658
t: 94200r: 2, x: 481.0000000000, p: 3.1265001297, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8865001202
t: 94210r: 2, x: 482.0000000000, p: 3.1330001354, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8930001259
t: 94220r: 2, x: 481.0000000000, p: 3.1265001297, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8865001202
t: 94230r: 2, x: 482.0000000000, p: 3.1330001354, v: -20.0012207031, d: -0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.8803994656
t: 94240r: 2, x: 481.0000000000, p: 3.1265001297, v: 0.0000000000, d: 0.0000000000, a: 2.0000000000, dd: -0.2399999946, res: -2.8865001202
t: 94250r: 2, x: 482.0000000000, p: 3.1330001354, v: 20.0012207031, d: 0.0126007696, a: 2.0000000000, dd: -0.2399999946, res: -2.9056007862
